iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
MAR,757.95,8862.49,280339.39,414105.17,2.14,0.27,16.2,na,6,https://chm.cbd.int/database/record/650BA56F-8B7E-91A7-6622-56AEEEDD28CE,872.21,139759.01,33.75,0.31
MCO,287.57,0.5,287.6,2.39,20.86,99.99,na,na,5,https://www.cbd.int/doc/world/mc/mc-nr-05-fr.pdf,287.57,0.5,20.86,99.99
MDA,0,3884.05,0,33853.79,11.47,0,5.8,0,6,https://chm.cbd.int/database/record/7320428F-D31E-FD33-F7FE-48CC53E2EB23,0,3884.05,11.47,0
MDG,15756.95,75277.89,1195878.2,590732.28,12.74,1.32,na,na,5,https://www.cbd.int/doc/world/mg/mg-nr-05-en.pdf,15756.95,75277.89,12.74,1.32
MDV,530.77,7.13,923880.57,239.83,2.97,0.06,na,na,5,https://www.cbd.int/doc/world/mv/mv-nr-05-en.pdf,530.77,7.13,2.97,0.06
MEX,719270.73,299336.31,3186356.71,1952314.33,15.33,22.57,12.9,21,6,https://www.cbd.int/doc/world/mx/mx-nr-05-es.pdf,719270.73,299336.31,15.33,22.57
MHL,6528.18,34.67,2004585.35,209.43,16.56,0.33,16,18,5,na,6528.18,34.67,16.56,0.33
MKD,0,7173.27,0,25433.22,28.2,0,na,0,0,na,0,7173.27,28.2,0
MLI,0,94041.98,0,1254742.62,7.49,0,na,na,0,na,0,94041.98,7.49,0
MLT,4146.1,91.14,52924.88,315.09,28.92,7.83,13,na,5,https://www.cbd.int/doc/world/mt/mt-nr-05-en.pdf,4146.1,91.14,28.92,7.83
MMR,2389.75,44151.44,498731.3,666521.66,6.62,0.48,8.7,na,6,https://chm.cbd.int/database/record/F7636AF4-F0E7-CAAE-ED0A-CE0E9F3A7F9C,2389.75,44151.44,6.62,0.48
MNE,357.79,2963.88,6384.8,13672.71,21.68,5.6,9.05,na,5,https://www.cbd.int/doc/world/me/me-nr-05-en.pdf,357.79,2963.88,21.68,5.6
MNG,0,310104.76,0,1564875.67,19.82,0,17.4,0,5,https://www.cbd.int/doc/world/mn/mn-nr-05-en.pdf,0,310104.76,19.82,0
MNP,247546.87,13.25,763587.93,476.14,2.78,32.42,na,na,na,na,247546.87,13.25,2.78,32.42
MOZ,12212.92,231987.88,566008.45,786625.21,29.49,2.16,26,na,5,https://www.cbd.int/doc/world/mz/mz-nr-05-en.pdf,12212.92,231987.88,29.49,2.16
