"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"MCO",283.522868,0.528888,284.22031,1.595194,33.15511,99.75462,"na","na",5,"https://www.cbd.int/doc/world/mc/mc-nr-05-fr.pdf"
"MDA",0,1409.67766,0,33963.76161,4.150535,0,5.8,0,6,"https://chm.cbd.int/database/record/7320428F-D31E-FD33-F7FE-48CC53E2EB23"
"MDG",11017.95793,44521.09838,1205824.849,594718.7259,7.486076,0.913728,"na","na",5,"https://www.cbd.int/doc/world/mg/mg-nr-05-en.pdf"
"MDV",580.758998,6.118706,922109.9914,304.666095,2.008332,0.062982,"na","na",5,"https://www.cbd.int/doc/world/mv/mv-nr-05-en.pdf"
"MEX",707955.7545,284800.9268,3284659.67,1965284.828,14.49159,21.5534,12.9,21,6,"https://www.cbd.int/doc/world/mx/mx-nr-05-es.pdf"
"MHL",5388.396257,33.593723,2004587.264,281.928035,11.91571,0.268803,16,18,5,"na"
"MKD",0,2279.092838,0,25443.14057,8.957592,0,"na",0,0,"na"
"MLI",0,103445.3359,0,1256684.114,8.23161,0,"na","na",0,"na"
"MLT",4146.551077,98.594674,55696.65564,324.970466,30.33958,7.444883,13,"na",5,"https://www.cbd.int/doc/world/mt/mt-nr-05-en.pdf"
"MMR",2456.796056,42746.75561,514147.2175,673078.5676,6.350931,0.477839,8.7,"na",6,"https://chm.cbd.int/database/record/F7636AF4-F0E7-CAAE-ED0A-CE0E9F3A7F9C"
"MNE",10.436511,1460.642353,7459.237226,13847.56188,10.54801,0.139914,9.05,"na",5,"https://www.cbd.int/doc/world/me/me-nr-05-en.pdf"
"MNG",0,310015.4251,0,1565864.159,19.79836,0,17.4,0,5,"https://www.cbd.int/doc/world/mn/mn-nr-05-en.pdf"
"MNP",257249.9205,38.441128,773667.8566,501.224059,7.66945,33.25069,"na","na","na","na"
"MOZ",9762.687213,228501.7882,574409.6185,791081.8731,28.88472,1.699604,26,"na",5,"https://www.cbd.int/doc/world/mz/mz-nr-05-en.pdf"
"MRT",6487.581023,6507.878451,156197.8626,1046302.522,0.621988,4.153438,"na","na",5,"https://www.cbd.int/doc/world/mr/mr-nr-05-fr.pdf"
"MSR",0.000273,11.182345,7628.258983,100.664381,11.10854,4E-06,"na","na","na","na"
"MTQ",47915.67245,1280.736358,47644.30608,1149.925062,100,100.5696,"na","na","na","na"
"MUS",49.64392,97.460291,1280068.317,2062.481937,4.725389,0.003878,7.6,"na",5,"https://www.cbd.int/doc/world/mu/mu-nr-05-en.pdf"
"MWI",0,27190.40931,0,118859.7323,22.87605,0,"na","na",5,"https://www.cbd.int/doc/world/mw/mw-nr-05-en.pdf"
"MYS",7437.982303,63419.10151,451741.5382,331700.5726,19.11938,1.646513,"na",1.4,5,"https://www.cbd.int/doc/world/my/my-nr-05-en.pdf"
"MYT",68829.3328,44.436072,63362.33751,396.377408,11.21055,100,"na","na",0,"na"
"NAM",9646.27499,313534.3569,562727.6243,827465.4339,37.89093,1.7142,16.7,"na",5,"https://www.cbd.int/doc/world/na/na-nr-05-en.pdf"
"NCL",1320501.093,11419.19727,1371803.153,19141.03171,59.65821,96.26025,"na","na","na","na"
"NER",0,216586.306,0,1190098.655,18.19902,0,15.21,0,6,"https://chm.cbd.int/database/record/AB3C2537-889F-115F-3B85-E42EA3C3B1EC"
"NFK",189083.8871,19.607996,432638.0836,42.778966,45.8356,43.70486,"na","na","na","na"
"NGA",30.555979,127359.0343,182868.1867,914306.1122,13.92958,0.016709,6,"na",5,"https://www.cbd.int/doc/world/ng/ng-nr-05-en.pdf"
"NIC",6660.345162,48104.12745,223935.2389,129222.3127,37.22587,2.974228,"na","na",0,"na"
"NIU",4.383517,54.720321,318243.6931,267.755527,20.43667,0.001377,23,"na",5,"https://www.cbd.int/doc/world/nu/nu-nr-05-en.pdf"
"NLD",17246.96069,7912.89839,64204.97933,35205.61182,22.47624,26.86234,21.7,19,5,"https://www.cbd.int/doc/world/nl/nl-nr-05-en.pdf"
"NOR",7716.917492,54748.74145,926317.7348,325287.8156,16.83086,0.833075,17.2,3.1,6,"https://chm.cbd.int/database/record/D874F120-974C-0CFE-32C4-6BCBE13146B5"
"NPL",0,34897.91838,0,147709.5419,23.62604,0,23.39,0,6,"https://chm.cbd.int/database/record/A6B3AF62-55F8-F0D0-7106-76D42630A951"
"NZL",1249447.107,88464.44129,4106953.859,269651.6705,32.80693,30.42272,36.73,7,5,"https://www.cbd.int/doc/world/nz/nz-nr-05-en.pdf"
"OMN",663.989764,7985.072834,538980.1915,310373.1429,2.572733,0.123194,"na","na",5,"https://www.cbd.int/doc/world/om/om-nr-05-en.pdf"
"PAK",1707.397433,98288.08094,222743.9199,798143.6542,12.31459,0.766529,12,0,5,"https://www.cbd.int/doc/world/pk/pk-nr-05-en.pdf"
"PAN",5593.115449,15773.05873,332643.4965,75497.94621,20.89204,1.681414,31.8,13.5,6,"https://chm.cbd.int/database/record/05B386D2-5BCD-A52D-6097-F853803CC619"
"PCN",839648.6171,37.035971,839478.9503,45.589943,81.23715,100.0202,"na","na",0,"na"
"PER",4036.819352,279619.5731,838329.5928,1298537.038,21.53343,0.481531,17.3,0.3,6,"https://chm.cbd.int/database/record/90F134F5-E726-C4E5-77FD-F2E103B0F872"
"PHL",21269.1568,45929.08936,1835028.192,298774.9046,15.37247,1.159064,12.8,"na","PBSAP 2015-2028","https://www.cbd.int/doc/world/ph/ph-nbsap-v3-en.pdf"
"PLW",608173.277,221.370544,608152.4889,501.101386,44.1768,100.0034,"na","na",0,"https://www.cbd.int/doc/world/pw/pw-nr-05-en.pdf"
"PNG",3343.51192,17247.55939,2407381.818,467405.9203,3.69006,0.138886,"na","na",0,"na"
"POL",7210.906575,123950.7319,31945.64308,311923.5191,39.73754,22.57243,19.6,24,6,"https://chm.cbd.int/database/record/4ACD5165-ABFA-57D0-CAB0-4FC82FB386DD"
"PRI",3077.928815,657.215588,176163.0606,9041.14294,7.269165,1.747204,"na","na",0,"na"
"PRK",25.611911,2975.649808,115967.2688,122186.1412,2.435342,0.022085,7.2,"na",5,"https://www.cbd.int/doc/world/kp/kp-nr-05-en.pdf"
"PRT",289974.0681,21076.11205,1724156.15,92141.09473,22.87374,16.81832,22,"na",5,"https://www.cbd.int/doc/world/pt/pt-nr-05-pt.pdf"
"PRY",0,57473.37524,0,401498.4235,14.31472,0,15,0,6,"https://chm.cbd.int/database/record/4406F62E-6E7A-1826-E2B9-082208FCC685"
"PSE",0,516.767863,0,6181.987004,8.359252,0,9,0,5,"https://www.cbd.int/doc/world/ps/ps-nr-05-en.pdf"
"PYF",206.943116,73.831954,4795468.095,3780.061341,1.953195,0.004315,"na","na",0,"na"
"QAT",538.143058,1512.836196,31987.65323,11435.55274,13.22924,1.682346,"na","na",0,"https://www.cbd.int/doc/world/qa/qa-nr-05-ar.pdf"
"REU",40.854603,1600.91019,316498.9308,2536.304619,63.11979,0.012908,"na","na",0,"na"
"ROU",6865.607474,58224.53787,29726.44952,237452.8706,24.52046,23.09595,33,"na",5,"https://www.cbd.int/doc/world/ro/ro-nr-05-en.pdf"
"RUS",228247.3381,1641400.741,7673314.113,16874835.52,9.726914,2.97456,11.8,"na",5,"https://www.cbd.int/doc/world/ru/ru-nr-05-ru.pdf"
"RWA",0,2319.729895,0,25452.13068,9.114089,0,10.3,0,5,"https://www.cbd.int/doc/world/rw/rw-nr-05-en.pdf"
"SAU",5495.452494,92063.63578,220338.2086,1934058.339,4.760127,2.494099,"na","na",0,"https://www.cbd.int/doc/world/sa/sa-nr-05-ar.pdf"
"SDN",10661.95346,42697.53551,66785.64454,1871251.813,2.281763,15.96444,5.8,10,6,"https://chm.cbd.int/database/record/2748B1C1-31BC-F7AF-54E0-FC64E251AA3D"
"SEN",1766.175004,50179.21798,158426.4028,197923.9723,25.35277,1.114824,"na",2.44,6,"https://chm.cbd.int/database/record/58DAD993-C79B-6275-8330-99B6F44BA483"
"SGP",0.100552,33.585431,762.68502,604.646128,5.55456,0.013184,4.7,"na",5,"https://www.cbd.int/doc/world/sg/sg-nr-05-en.pdf"
