iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_marine_cover,percentage_oecms_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
JAM,1859.991697,1760.198539,246488.4991,11058.94539,15.91651,0.754596,1859.991697,1760.198539,0.754595733,15.91651352,18,15,5,https://www.cbd.int/doc/world/jm/jm-nr-05-en.pdf
JEY,185.03376,22.230736,2962.105951,125.218467,17.75356,6.246696,185.03376,22.230736,6.246696204,17.75356026,na,na,0,na
JOR,0.919867,4013.048017,93.665949,89689.84024,4.474362,0.982071,0.919867,4013.048017,0.982071937,4.474361875,1.6,25,6,https://chm.cbd.int/database/record/E3AD5C2C-E18B-0515-2B13-B5906FB9C971
JPN,332690.587,109936.665,4040612.297,374092.7945,29.38754,8.233667,332690.587,109936.665,8.233667637,29.38753876,na,8.3,6,https://chm.cbd.int/database/record/134290A2-76E8-AF7A-E322-14E20399677D
KAZ,60409.56045,272794.8573,119085.0237,2719827.869,10.02986,50.72809,60409.56045,272794.8573,50.72809206,10.02985742,8.96,na,6,https://chm.cbd.int/database/record/104097C9-32D6-85B6-4630-6D69CC6DC2EF
KEN,857.477731,72889.93934,112400.4482,586770.0015,12.42223,0.762877,857.477731,72889.93934,0.762877502,12.42223344,8,na,5,https://www.cbd.int/doc/world/ke/ke-nr-05-en.pdf
KGZ,0,13408.46315,0,199957.0236,6.705673,0,0,13408.46315,0,6.705672503,7.38,na,6,https://chm.cbd.int/database/record/411B9A5E-1A4D-858E-3E40-643E17C4E9CC
KHM,691.469848,72527.31997,47966.8519,182510.8526,39.73864,1.441558,691.469848,72527.31997,1.441557702,39.73863414,18,na,5,https://www.cbd.int/doc/world/kh/kh-nr-05-en.pdf
KIR,408796.5464,230.885727,3459130.413,1032.564654,22.36041,11.8179,408796.5464,230.885727,11.81789923,22.36041357,na,na,0,na
KNA,408.210603,62.014371,10262.9088,270.825058,22.89831,3.977533,408.210603,62.014371,3.977533181,22.89831357,na,na,6,https://chm.cbd.int/database/record/C0A7116F-F642-2089-08C4-81605C16F1BC
KOR,7979.394194,16692.13546,324993.7978,99712.88376,16.7402,2.455245,7979.394194,16692.13546,2.455245069,16.74019929,11.57,1.4,6,https://chm.cbd.int/database/record/37C38AFC-AF9F-168E-B555-2EBA21CF2DCD
KWT,162.289134,2979.114917,11895.81218,17417.87587,17.10378,1.364254,162.289134,2979.114917,1.364254341,17.10377855,20,3,5,https://www.cbd.int/doc/world/kw/kw-nr-05-ar.pdf
LAO,0,43219.86876,0,231276.1399,18.68756,0,0,43219.86876,0,18.68756059,18,na,0,na
LBN,40.839545,268.277274,19315.84107,10329.04876,2.597309,0.21143,40.839545,268.277274,0.211430322,2.597308622,na,na,0,na
LBR,256.049624,3916.367591,247767.6811,96634.42399,4.052766,0.103343,256.049624,3916.367591,0.103342624,4.052766529,na,na,5,https://www.cbd.int/doc/world/lr/lr-nr-05-en.pdf
LBY,2267.908302,2084.166442,357895.3125,1622615.431,0.128445,0.633679,2267.908302,2084.166442,0.633679242,0.12844488,na,na,0,na
LCA,34.007036,116.653527,15560.30791,622.311137,18.74521,0.21855,34.007036,116.653527,0.218549891,18.7452096,na,na,0,na
LIE,0,71.223334,0,167.064349,42.63227,0,0,71.223334,0,42.63227578,12.3,0,5,https://www.cbd.int/doc/world/li/li-nr-05-en.pdf
LKA,398.564426,19897.4988,534085.0497,66631.50337,29.862,0.074626,398.564426,19897.4988,0.074625647,29.8619989,28,na,5,https://www.cbd.int/doc/world/lk/lk-nr-05-en.pdf
LSO,0,153.438412,0,30494.99377,0.503159,0,0,153.438412,0,0.503159349,na,na,0,na
