"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"NZL","1249447","88464","4106954","269652","32.81","30.42","0","7",5,"https://www.cbd.int/doc/world/nz/nz-nr-05-en.pdf"
"GMB","16","442","22746","10758","4.11","0.07","0","7.4",6,"https://chm.cbd.int/database/record/72F99C09-A17F-497F-7B00-EE38CDE69E5D"
"CAN","165665","1060922","5698083","9955033","10.66","2.91","0","7.7",6,"https://chm.cbd.int/database/record/C54338B1-F853-7542-B2AD-34985A78BE08"
"ESP","127610","142475","1005717","507013","28.1","12.69","0","8",0,
"JPN","332694","109937","4040612","374093","29.39","8.23","0","8.3",6,"https://chm.cbd.int/database/record/134290A2-76E8-AF7A-E322-14E20399677D"
"VCT","80","92","36511","410","22.42","0.22","0","8.5",5,"https://www.cbd.int/doc/world/vc/vc-nr-05-en.pdf"
"DOM","48625","12727","270774","48510","26.24","17.96","0.01","9.6",6,"https://chm.cbd.int/database/record/4CAD6958-68E8-A0AB-E856-852720AD7CF8"
"SDN","10662","42698","66786","1871252","2.28","15.96","0","10",6,"https://chm.cbd.int/database/record/2748B1C1-31BC-F7AF-54E0-FC64E251AA3D"
"SWE","23818","64597","154980","449390","14.37","15.37","0.01","10",6,"https://chm.cbd.int/database/record/060FF276-745E-F718-DC53-A1A48915D17E"
"TUN","1042","12286","100661","155231","7.91","1.04","0","10",6,"https://chm.cbd.int/database/record/5DAF5DAA-D4D2-F800-CA8C-9462C5D56858"
"ZAF","224640","102060","1542560","1224385","8.34","14.56","0","10",6,"https://chm.cbd.int/database/record/33303CBE-1BB9-9034-35F8-283CC0A1D63F"
"GNB","10661","5668","106507","34016","16.66","10.01","0.02","12.63","national Biodiversity Strategy and Action Plan (v.2)","https://www.cbd.int/doc/world/gw/gw-nbsap-v2-en.pdf"
"PAN","5593","15773","332643","75498","20.89","1.68","0.01","13.5",6,"https://chm.cbd.int/database/record/05B386D2-5BCD-A52D-6097-F853803CC619"
"JAM","1860","1760","246488","11059","15.92","0.75","0.01","15",5,"https://www.cbd.int/doc/world/jm/jm-nr-05-en.pdf"
"FIN","9623","44786","79468","337726","13.26","12.11","0.04","17",6,"https://chm.cbd.int/database/record/8BC90B3F-3587-ED1A-0BE5-FBA1287318A4"
"DNK","18004","7809","100470","45314","17.23","17.92","0.04","18",5,"https://www.cbd.int/doc/world/dk/dk-nr-05-en.pdf"
"MHL","5388","34","2004587","282","11.92","0.27","0","18",5,
"NLD","17247","7913","64205","35206","22.48","26.86","0","19",5,"https://www.cbd.int/doc/world/nl/nl-nr-05-en.pdf"
"ITA","47303","64739","538881","301335","21.48","8.78","0","19.1",6,"https://chm.cbd.int/database/record/075ADA4C-96AD-4864-9C6C-D252F644A314"
"BLZ","3654","8402","36250","22298","37.68","10.08","0.07","19.8",6,"https://chm.cbd.int/database/record/7E3D234F-E8AD-520C-C92B-490CE2806718"
"DMA","10","168","28749","766","21.99","0.03","0","20",5,"https://www.cbd.int/doc/world/dm/dm-nbsap-v2-en.pdf"
"THA","5774","97391","306891","517787","18.81","1.88","0","20",6,"https://chm.cbd.int/database/record/46D5C83F-588E-181B-D5F7-80C3E0A7552E"
"MEX","707956","284178","3284660","1965285","14.46","21.55","0.01","21",6,"https://www.cbd.int/doc/world/mx/mx-nr-05-es.pdf"
"FRA","168250","144583","343866","548954","26.34","48.93","0","22.91",6,"https://chm.cbd.int/database/record/C838741D-098B-3BAC-AE88-3EDACDB092EA"
"GBR","211019","70407","723405","245248","28.71","29.17","0.18","24",6,"https://chm.cbd.int/database/record/A8D6330F-38E5-1E72-50A3-406ABFBB9612"
"POL","7211","123950","31946","311924","39.74","22.57","0.22","24",6,"https://chm.cbd.int/database/record/4ACD5165-ABFA-57D0-CAB0-4FC82FB386DD"
"JOR","33","2774","94","89690","3.09","35.72","0","25",6,"https://chm.cbd.int/database/record/E3AD5C2C-E18B-0515-2B13-B5906FB9C971"
"EST","6773","9247","36346","45416","20.36","18.63","0.03","27",6,"https://chm.cbd.int/database/record/E23CB1F7-405F-D3C8-C1A5-8D2912E49CCE"
"BEL","1270","7644","3465","30683","24.91","36.65","0","35.85",6,"https://chm.cbd.int/database/record/190C2BA4-9F5C-AD89-32B5-778480AB2C5B"
"AUS","3014429","1487711","7432133","7722102","19.27","40.56","0.05","36.2",5,"https://www.cbd.int/doc/world/au/au-nr-05-en.pdf"
"COG","1280","140032","39864","343737","40.74","3.21","0.03","0",0,
"DEU","25575","133664","56358","357584","37.38","45.38","0.15","0",5,"https://www.cbd.int/doc/world/de/de-nr-05-en.pdf"
"HND","9144","27060","219971","113291","23.89","4.16","0","0",,"https://www.cbd.int/doc/world/hn/hn-nbsap-v2-es.pdf"
"SWZ","0","738","0","17336","4.26","0","0","0",5,"https://www.cbd.int/doc/world/sz/sz-nr-05-en.pdf"
"USA","3527445","1233175","8591493","9490391","12.99","41.06","0.18","0",,
"Disputed","0","0","2199177.4","241966.7","0","0","0","0",,
